taxonID;name
201194;Hemaris fuciformis
101060;Hemaris tityus
201196;Macroglossum stellatarum
101070;Hesperia comma
232265;Hesperia comma catena
250162;Hesperia comma comma
201031;Ochlodes sylvanus
215514;Ochlodes faunus
201028;Thymelicus lineola
201029;Thymelicus sylvestris
201026;Carterocephalus palaemon
259034;Carterocephalus palaemon borealis
215513;Carterocephalus silvicola
201027;Heteropterus morpheus
201018;Erynnis tages
101688;Pyrgus alveus
258989;Pyrgus alveus alveus
220787;Goodyera repens
1056;Malaxis monophyllos
1122;Orchis spitzelii
61;Anthericum liliago
1005;Luzula sylvatica
256;Carex atherodes
1853;Pulsatilla vernalis
222886;Pulsatilla vulgaris
222817;Corydalis intermedia
222820;Corydalis pumila
222821;Corydalis solida
222795;Berberis vulgaris
219914;Aconitum lycoctonum
221318;Trifolium campestre
221322;Trifolium dubium
221324;Trifolium fragiferum